Kabupaten/Kota,RMSE,MSE,MAE,MAPE (%),SMAPE (%)
Kabupaten Bangkalan,0.123995,0.015375,0.082404,18.969893,22.197771
Kabupaten Banyuwangi,0.058613,0.003436,0.042316,12.39591,13.657286
Kabupaten Blitar,0.068606,0.004707,0.062075,22.534821,20.923709
Kabupaten Bojonegoro,0.088761,0.007878,0.068523,18.066232,17.554311
Kabupaten Bondowoso,0.110622,0.012237,0.08788,27.558183,23.509555
Kabupaten Gresik,0.085289,0.007274,0.075231,31.146986,32.725954
Kabupaten Jember,0.095212,0.009065,0.08859,23.380953,25.56285
Kabupaten Jombang,0.096573,0.009326,0.086074,24.189711,23.569414
Kabupaten Kediri,0.085159,0.007252,0.071358,17.798154,18.172456
Kabupaten Lamongan,0.117901,0.013901,0.10143,38.523921,33.948657
Kabupaten Lumajang,0.047337,0.002241,0.042011,12.840655,13.209449
Kabupaten Madiun,0.152146,0.023148,0.124717,26.796088,31.876913
Kabupaten Magetan,0.158062,0.024984,0.117838,26.098773,31.196249
Kabupaten Malang,0.047722,0.002277,0.040317,12.361684,12.514592
Kabupaten Mojokerto,0.070621,0.004987,0.059155,22.400318,20.944063
Kabupaten Nganjuk,0.130211,0.016955,0.104416,23.051653,26.383573
Kabupaten Ngawi,0.115853,0.013422,0.093607,21.279967,22.228546
Kabupaten Pacitan,0.132772,0.017628,0.100929,29.598071,33.615371
Kabupaten Pamekasan,0.117554,0.013819,0.100754,29.142358,35.574069
Kabupaten Pasuruan,0.069318,0.004805,0.057904,18.024387,17.267677
Kabupaten Ponorogo,0.171038,0.029254,0.13387,33.447894,43.945163
Kabupaten Probolinggo,0.104531,0.010927,0.082907,30.814618,24.692563
Kabupaten Sampang,0.129166,0.016684,0.1073,28.859626,34.580574
Kabupaten Sidoarjo,0.093887,0.008815,0.079367,30.329627,32.512489
Kabupaten Situbondo,0.124568,0.015517,0.104453,30.142643,28.694317
Kabupaten Sumenep,0.081551,0.006651,0.061877,17.912601,20.860045
Kabupaten Trenggalek,0.053855,0.0029,0.045337,24.211022,20.530231
Kabupaten Tuban,0.100019,0.010004,0.082769,29.794287,26.163537
Kabupaten Tulungagung,0.063274,0.004004,0.043365,15.615981,17.709301
Kota Batu,0.119331,0.01424,0.105332,81.944793,51.901742
Kota Blitar,0.145753,0.021244,0.125104,58.845583,74.624765
Kota Kediri,0.069157,0.004783,0.054207,15.932328,15.112347
Kota Madiun,0.15529,0.024115,0.132055,39.287046,50.852292
Kota Malang,0.039813,0.001585,0.032833,14.016128,14.362033
Kota Mojokerto,0.082863,0.006866,0.061927,51.181664,27.948519
Kota Pasuruan,0.068604,0.004706,0.043076,21.784044,15.198661
Kota Probolinggo,0.082541,0.006813,0.061127,19.354224,16.223009
Kota Surabaya,0.068445,0.004685,0.05862,42.905452,47.230134
